8.19	40.15	1492	55.38	3	4.4	3.285	139.6	8.670663636	436.25	3.1	21.04	4.9669
8	41.3889	1483.3333	55.25	3.59	4.4	3.3444	143.3333	8.670663636	445.8333	3	21.4	5.5351
8	40.1429	1512.1429	54.87	3.32	4.3	3.2929	145.2143	8.670663636	428.5714	2.8	21.4857	0.4717
8.19	40.3	1489.5	56.09	3.4	4.2	3.29	142.8	8.670663636	437.5	3	21.53	3.125
8	41.4	1493.3333	53.66	3	4.3	3.3467	143.6	8.670663636	453.3333	3.2	21.2	4.5455
8.19	40.1429	1528.5714	56.3	3.48	4.4	3.2857	144.5714	8.670663636	430.3571	2.9	21.9714	3.8136
8.19	40.4167	1482.5	55.39	3.2	4.4	3.2917	142	8.670663636	433.3333	3.1	21.6667	1.2739
8.19	40.2941	1519.4118	55.24	3.53	4.4	3.2941	143.6471	8.670663636	427.9412	3	22.3059	6.8826
8.19	41.5714	1540.7143	55.63	3.2	4.3	3.3571	143.7143	8.670663636	453.5714	2.9	21.3	3.5
8.19	40.7368	1486.3158	55.27	3	4.3	3.3105	142.6316	8.670663636	438.1579	3	21.5474	2.7211
8.19	41.5	1503.125	55.88	4.2	4.4	3.3563	143	8.670663636	450	3.1	20.8	6.1475
8.19	40.5333	1538.6667	56.23	3.42	4.3	3.3133	144.4	8.670663636	431.6667	3	21.8	5.5556
8.19	40.5263	1504.2105	57.47	4.26	4.4	3.3	143.6842	8.670663636	439.4737	3.1	21.1368	4.6667
8	41.6111	1486.6667	55.39	4.19	4.4	3.3444	144.7222	8.670663636	445.8333	3	20.8111	3.4268
8.19	41.7333	1534	55.13	3.77	4.5	3.3533	143.0667	8.670663636	430	3	22.8	5.5195
8.4	40.4545	1511.8182	55.92	4.19	4.4	3.2955	143.0909	8.670663636	448.8636	3.2	20.8	13.9466
8	40.3158	1536.8421	55.42	4.71	4.4	3.3	140.9474	8.670663636	431.5789	3.4	21.4	5.9867
8.19	40.3333	1542.7778	55.84	4.28	4.4	3.2889	140	8.670663636	452.7778	3.2	20.8	4.8889
8.19	41.3684	1511.0526	55.55	4	4.4	3.3421	144.2105	8.670663636	455.2632	3	21.4	2.7692
8.19	40.5789	1543.1579	55.13	3.52	4.4	3.2789	141.1579	8.670663636	431.5789	2.9	22	3.178
8.19	41.2	1578	56.64	4.4	4.4	3.34	140.4	8.670663636	462.5	3.2	21.2	2.3121
8.19	41.65	1495.5	55.4	4.2	4.4	3.362	144.3	8.670663636	447.5	3.2	20.8	4.5455
8.4	39.8421	1580.5263	54.96	3.78	4.59	3.2789	141.3684	8.670663636	443.4211	3	24.2	11.3573
8.4	40.8667	1553.3333	55.43	4.19	4.4	3.32	140.1333	8.670663636	453.3333	3.2	20.8	4.491
8.19	41.4737	1518.9474	55.39	4	4.5	3.3474	143.3158	8.670663636	456.5789	3.3	20.5	1.1628
8.4	40.3636	1576.3636	54.89	3.86	4.4	3.2909	141.2727	8.670663636	443.1818	3.3	20.5	6.4394
8.5	41.1176	1573.5294	55.4	4.19	4.5	3.3235	140.1176	8.670663636	455.8824	3.4	22	5.8824
8.4	41.6875	1553.125	55.51	4.19	4.4	3.3625	144.0625	8.670663636	468.75	3.2	21.4	7.2581
8.19	40.2632	1580	54.93	3.89	4.3	3.2947	141.7895	8.670663636	448.6842	3	21.6	9.0615
8.4	40.6667	1552.6667	55.06	4.19	4.5	3.3067	140.4	8.670663636	460	3.4	21.8	4.5296
8.19	41.5714	1546.1905	55.78	4.2	4.4	3.3576	143.1905	8.670663636	457.1429	3.2	21.3	2.4194
8.19	40.3333	1553.3333	55.05	3.88	4.3	3.3	140.2222	8.670663636	440.8333	3	22	1.9608
