   1.0666667e+00   9.6222567e-01   7.3274985e-01   5.0788215e-01   3.4125961e-01   2.3040000e-01   1.5880118e-01   1.1232224e-01   8.1556549e-02   6.0688818e-02   4.6175138e-02   3.5836068e-02   2.8306049e-02   2.2710330e-02   1.8475650e-02
   9.6222567e-01   1.0666667e+00   9.6222567e-01   7.3274985e-01   5.0788215e-01   3.4125961e-01   2.3040000e-01   1.5880118e-01   1.1232224e-01   8.1556549e-02   6.0688818e-02   4.6175138e-02   3.5836068e-02   2.8306049e-02   2.2710330e-02
   7.3274985e-01   9.6222567e-01   1.0666667e+00   9.6222567e-01   7.3274985e-01   5.0788215e-01   3.4125961e-01   2.3040000e-01   1.5880118e-01   1.1232224e-01   8.1556549e-02   6.0688818e-02   4.6175138e-02   3.5836068e-02   2.8306049e-02
   5.0788215e-01   7.3274985e-01   9.6222567e-01   1.0666667e+00   9.6222567e-01   7.3274985e-01   5.0788215e-01   3.4125961e-01   2.3040000e-01   1.5880118e-01   1.1232224e-01   8.1556549e-02   6.0688818e-02   4.6175138e-02   3.5836068e-02
   3.4125961e-01   5.0788215e-01   7.3274985e-01   9.6222567e-01   1.0666667e+00   9.6222567e-01   7.3274985e-01   5.0788215e-01   3.4125961e-01   2.3040000e-01   1.5880118e-01   1.1232224e-01   8.1556549e-02   6.0688818e-02   4.6175138e-02
   2.3040000e-01   3.4125961e-01   5.0788215e-01   7.3274985e-01   9.6222567e-01   1.0666667e+00   9.6222567e-01   7.3274985e-01   5.0788215e-01   3.4125961e-01   2.3040000e-01   1.5880118e-01   1.1232224e-01   8.1556549e-02   6.0688818e-02
   1.5880118e-01   2.3040000e-01   3.4125961e-01   5.0788215e-01   7.3274985e-01   9.6222567e-01   1.0666667e+00   9.6222567e-01   7.3274985e-01   5.0788215e-01   3.4125961e-01   2.3040000e-01   1.5880118e-01   1.1232224e-01   8.1556549e-02
   1.1232224e-01   1.5880118e-01   2.3040000e-01   3.4125961e-01   5.0788215e-01   7.3274985e-01   9.6222567e-01   1.0666667e+00   9.6222567e-01   7.3274985e-01   5.0788215e-01   3.4125961e-01   2.3040000e-01   1.5880118e-01   1.1232224e-01
   8.1556549e-02   1.1232224e-01   1.5880118e-01   2.3040000e-01   3.4125961e-01   5.0788215e-01   7.3274985e-01   9.6222567e-01   1.0666667e+00   9.6222567e-01   7.3274985e-01   5.0788215e-01   3.4125961e-01   2.3040000e-01   1.5880118e-01
   6.0688818e-02   8.1556549e-02   1.1232224e-01   1.5880118e-01   2.3040000e-01   3.4125961e-01   5.0788215e-01   7.3274985e-01   9.6222567e-01   1.0666667e+00   9.6222567e-01   7.3274985e-01   5.0788215e-01   3.4125961e-01   2.3040000e-01
   4.6175138e-02   6.0688818e-02   8.1556549e-02   1.1232224e-01   1.5880118e-01   2.3040000e-01   3.4125961e-01   5.0788215e-01   7.3274985e-01   9.6222567e-01   1.0666667e+00   9.6222567e-01   7.3274985e-01   5.0788215e-01   3.4125961e-01
   3.5836068e-02   4.6175138e-02   6.0688818e-02   8.1556549e-02   1.1232224e-01   1.5880118e-01   2.3040000e-01   3.4125961e-01   5.0788215e-01   7.3274985e-01   9.6222567e-01   1.0666667e+00   9.6222567e-01   7.3274985e-01   5.0788215e-01
   2.8306049e-02   3.5836068e-02   4.6175138e-02   6.0688818e-02   8.1556549e-02   1.1232224e-01   1.5880118e-01   2.3040000e-01   3.4125961e-01   5.0788215e-01   7.3274985e-01   9.6222567e-01   1.0666667e+00   9.6222567e-01   7.3274985e-01
   2.2710330e-02   2.8306049e-02   3.5836068e-02   4.6175138e-02   6.0688818e-02   8.1556549e-02   1.1232224e-01   1.5880118e-01   2.3040000e-01   3.4125961e-01   5.0788215e-01   7.3274985e-01   9.6222567e-01   1.0666667e+00   9.6222567e-01
   1.8475650e-02   2.2710330e-02   2.8306049e-02   3.5836068e-02   4.6175138e-02   6.0688818e-02   8.1556549e-02   1.1232224e-01   1.5880118e-01   2.3040000e-01   3.4125961e-01   5.0788215e-01   7.3274985e-01   9.6222567e-01   1.0666667e+00
